Member Name,Concept Title,Description,Cluster
Albert,Solar Power,Powers the antenna by using solar power to charge a battery,Power Source
Albert,Wind Power - Principle Power,"Powers the antenna using Principle Power's patented ""WindFloat"" technology",Power Source
Akhi,Battery Arrangement,Cycle between charging and power for efficiency,Power Source
Stephanie,Battery Cooling,Fan + holes covered with fine mesh to prevent water but allow air flow,Power Source
Stephanie,Wave Power - Wave Carpet,Hydraulic actuators harness wave energy,Power Source
Stephanie,Wave Power - Fishing Reel,"Line reels in as wave goes down, then tensions as wave rises",Power Source
Stephanie,Wind Power - Vortex,"Tubes harness wind energy, rather than traditional blades on a windmill",Power Source
Stephanie,Wave Power - Turbine,Water flow powers turbine,Power Source
Alex,Wave Power - Current,Water flow powers turbine,Power Source
Stephanie,Fish Power - Turbine,School of fish swimming in circle powers turbine,Power Source
Beshoy,Urianium,Using a nuclear based option,Power Source
Beshoy,Electromagnetic,Using magnets to turn the ocean current to power,Power Source
Stephanie,Cables Underwater,Run cables to provide power and wi-fi directlly to the buoy,Power Source
Beshoy,Recycltron ,Using trash found in the ocean or organic matter to turn it into energy,Power Source
Albert,Lightning Powered,Powers the antenna with lightning strike (Huge free voltage!),Power Source
Hunter,Solar powered buoy,the wifi buoy has solar pannels to power itwhich makes it super cost efficient,Power Source
Albert,Module for Existing Buoys,"Small module you can just attach to any existing buoy, no toll on ocean environment",Form Factor
Hunter,Tug Buoy,Have the buoy attach to a boat so that it can be dragged around,Form Factor
Albert,Self-Moving Buoy,Buoy automatically follows behind boat,Form Factor
Stephanie,Wi-Fi Balloon,Similar to Google project Loon,Form Factor
Stephanie,Module for Lifeguard Stands,Attach to tall (relative to flat beach/ocean) lifeguard stands to broadcast wi-fi,Form Factor
Stephanie,Module for Lighthouses,"Lighthouses have a clear view, so emit wi-fi in addition to light",Form Factor
Stephanie,Module for oil rigs,Oil rigs are existing fixtures in ocean with workers as potential customers,Form Factor
Stephanie,Module Extender for Submarines,Submarines send up a floating box to receive wi-fi signal and transmit back via cables,Form Factor
