Team Member,Concept Name,Short Description,Clustering
Adam,Custom Added Features,"Users will have the option to choose how they want the fridge to be lit, and what sounds they want it to make.",Apps/Tech
Adam,Recipe Promoter,A screen displays recipes with videos based off of items you commonly have to promote cooking.,Apps/Tech
Adam,Beer Points,Participants get points for beer when they eat all the food in their fridge.,Apps/Tech
Adam,Spoil Vapors & Unspoil Vapors,System detects gases that are being released in order to determine if items are going bad. Counter gases are released. ,Chemistry Tech
Adam,Eatsa Fridge,"The fridge door has a computerized screen that is dark while in use, but goes clear so user can see inside.",Door Tech
Adam,Multi-Door Fridge,Multiple access doors on the fridge prevent the fridge from having a back.,Door Tech
Adam,Dog Food Maker,Built in system turns leftover food into dog food to eliminate waster. ,Door Tech
Adam,Fake Food,Hologram like screen projects images of food in fridge to make it look more full.,Door Tech
Adam,Waste Tracker,Scales in fridge and compost bin tell you what percent of food you wasted,Drawer Tech
Adam,Fridge Legos,"Removable bins slide nicely into shelves of fridge. Looks tidy, and QR scanners record what the item is and when it was put in.",Drawer Tech
Adam,Amazon Fridge,Amazon delivers cold food directly to your fridge when you aren't home.,Non-Fridge Concept
Adam,Weekly Delivery Box,User buys a standard weekly box that fits their needs - eliminates need for over buying food,Non-Fridge Concept
Adam,Milk Box,Seperate milk jug saves space and has dispenser. Can be washed between uses and knows experation date.,Organization
Adam,Moving Shelves,"Shelve space is put into door, but overall volume is conserved. When the door opens, the shelves move to the front of the fridge.",Shelf Tech
Adam,Liquid filled shelves for extra cooling and cleaning,Shelves work like a bath of cold water,Shelf Tech
Adam,Cold Blast,Items that haven't moved in a while will be given extra cold air to lower its temp.,Temp Control
Adam,Freeze-Dried,Built in systems turns leftover food into freeze dried meals that can last for years.,Temp Control
Adam,Freezer to Fridge,"Basically, each night a user selects items they want to be defrosted the next day",Temp Control
Adam,Multi-Part Fridge,Between the fridge and freezer is a counter space for non-refrigerated items.,Whole New Fridge
Adam,Food Energy,Leftover food is converted into energy to power the fridge.,Whole New Fridge
Adam,Living Fridge,Fridge grows herbs on top which can filter air and remove contaminants.,Whole New Fridge
Chloe,Voice Command Fridge,Voice command box that allows users to record contents/expiration dates/etc. Can give reminders and/or have fun sounds for different purposes.,Apps/Tech
Chloe,MyFridge App,App on phone that allows users to record/keep tracjk of fridge contents. Scanning feature for logging what you buy at the grocery store.  Can be integrated with voice command/screen.,Apps/Tech
Chloe,Interactive Screen,"Interactice Screen most likely on outer fridge door where users can log fridge content info. Can display reminders, make sounds, can be integrated with voice command/phone app.",Apps/Tech
Chloe,Food Freshness App,App on phone that lets users find out about a specific food and its freshness (health benefits when it goes bad/how to store them),Apps/Tech
Chloe,Mold Alarm,Device that sounds an alarm when spores are detected so user can know to remove that food item from the fridge to prevent contamination,Chemistry Tech
Chloe,See-through Fridge,Fridge that is completely see-through. Has customizable pull-down screens or manual tinting option when user wants to hide contents.,Door Tech
Chloe,Shelve Lable Clip-ons,Clip on labels so you can attach to shelves,Non-Fridge Concept
Chloe,Saran wrap/Paper towel dispenser in fridge,built-in saran wrap/ paper towel dispenser to wrap food and easily clean messes,Non-Fridge Concept
Chloe,Vacuum Pipe,"Integrated ""vacuum pipe"" that sucks all the air out of the ziplock bags that holds users foods",Non-Fridge Concept
Chloe,Food Label Organizer,Integrated label maker outside of fridge so users can print and stick labels about important info about their food before putting it in the fridge,Non-Fridge Concept
Chloe,Customizable/Foldable Shelves,Integrate various shelve attachments in fridge and attach customizable shelves that come in different shapes and sizes and/or can be folded.,Shelf Tech
Chloe,Bleacher Door Shelves,Integrating or designing attachable bleacher style shelves to go on the fridge door.,Shelf Tech
Chloe,Smart Shelve Lighting,"Lights lining the shelves with different colors for different purposes (ex: green-food is good, red-food is almost bad). Can be integrated with voice command/screen.",Shelf Tech
Chloe,Rotating Shelves,"""Lazy Susan"" style shelves, where one or more shelves that can be spun manually are integrated into the fridge.",Shelf Tech
Chloe,Ferris-Wheel Shelves,Shelves that are all linked together and can be spun around in a circle,Shelf Tech
Chloe,Tray Shelves,Trays with borders that can slide in and out of fridge,Shelf Tech
Chloe,Extended Door Shelves,Door shelves that extend further into the fridge. Shelves inside fridge can be made smaller to compensate.,Shelf Tech
Chloe,Removable Laminate-layered Shelves,A laminate sheet placed on top of any shelves and can be removed for cleaning to prevent spore residues from spreading to fresh food,Shelf Tech
Chloe,Temperature Controlled Compartments ,"Fridge/freezer is divided into several sealed compartments, where each compartment can be regulated by its own temperature knob.",Temp Control
Chloe,Fridge Inception,Removable mini fridge or cooler that can be removed from fridge,Whole New Fridge
Kristal,Preservative - Spraying,Releases preservatives into the refrigerator chamber to keep food fresher longer,Chemistry Tech
Kristal,Deep set door storage,makes less depth in the fridge for less opportunity for loss,Door Tech
Kristal,Spoilage Detector,alerts user at early signs of spoilage and reminds to take out or use soon etc.,Freshness Indication
Kristal,Detects Food Spoilage Vapors,"Sensors that are sensitive to productionof ""spoil"" vapors - located in different compartments to indicate to user where food that is going bad soon is. ",Freshness Indication
Kristal,Consequences,Some kind of legal or other consequence for food waste to deter families ,Non-Fridge Concept
Kristal,Colored interior fridge,Change the user's experience with the fridge completely - why so white and bright?,Non-Fridge Concept
Kristal,Education,Raise awareness of causes of food waste and ways to lessen it,Non-Fridge Concept
Kristal,Integrated Pantry Segment,"pantry items are visible so user can see all foods they have when going to the refrigerator, not just some. see you have more and buy less",Non-Fridge Concept
Kristal,Food Storage Reference Guide,"help educate user on how to store foods properly (separate ripe and unripe, separate vegetables and fruits, keep at correct temperature, take out of plastic bags) so foods stay fresher longer",Non-Fridge Concept
