Your Name,Concept Title,Description,Cluster Title
Max,Valet,Person parks bike and provides surveillance,Service
Max,Tracker,Put a tracker inside every bike,Surveillance
Max,Raised Bike Rack,Raises bikes in air making more difficult for ciminals to reach,Infrastructure
Max,Question Asker,Asks questions and gives candy when correct answer is given,Entertainment
Max,Finger Scanner,Unlock after fingerprint is given,Locking process
Max,Rotating Bar,Rotating bar enables biker to carry lock on frame,Locking process
Max,The Caf_,Caf_ where bikes are checked in,Entertainment
Max,Cages Park,Bike cages make a fun maze where children come to play,Entertainment
Max,The Arms,Adjustable bike arms allow locking an irregular bike,Locking process
Max,The Camera,Attach a camera that texts when obscured or removed,Surveillance
Lace Co Ting Keh ,Bike parking lot ,Parking lot for bikes that is completely automated. A bike will be stored at a parking space corresponding to the specific 4 digit passcode entered by the user when the bike is dropped off. The user with the unique code is able to take/ access the bike in this space alone. Passcode resets when the bike is returned. ,Infrastructure
Lace Co Ting Keh ,molded lock ,"Chain lock that is in the market, retractable to a certain set position then it arrives to whenever the lock is being used. It can be complressed and unlocked from this molded shape. ",Locking process
Lace Co Ting Keh ,lock bluetooth ,Detects the unlocking or breaking of the lock. This is a chain bike lock that ties up/ locks up the entire bike. ,Locking process
Lace Co Ting Keh ,all around bike tracker,Tracker attached to every detachable part of the bike and connected to the user's phone. Allows user to track all parts of the bike at all times. ,tracking/surveillance
Lace Co Ting Keh ,bike lock alarm ,A bike lock that produces sound if a person tries to break the lock. Any disturbance on the lock will set an alarm off. ,Locking process
Lace Co Ting Keh ,bike storage ,Enter a unique code when you drop off your bike. The code is reset when the bike is retrieved. ,Infrastructure
Lace Co Ting Keh ,bluetooth U-lock ,Bike lock that unlocks only when the phone unlocks it. Only allows the user to unlock it. ,Locking process
Lace Co Ting Keh ,bike lock with wheel locks ,Bike lock with locks for wheels. It automatically locks the wheels with the chain lock. ,Locking process
Lace Co Ting Keh ,finger print bike lock ,Bike lock that can only unlock with the activation from a finger print scanner. ,Locking process
